series_id,year,period,value,footnote_codes,series
SMU48191240000000001          ,2006,M01,      1994.3,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M02,      2008.9,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M03,      2024.5,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M04,      2036.6,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M05,      2046.8,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M06,      2059.9,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M07,      2042.8,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M08,      2057.5,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M09,      2066.8,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M10,      2072.5,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M11,      2087.1,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M12,      2095.5,          ,SMU48191240000000001
SMU48191240000000001          ,2006,M13,      2049.4,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M01,      2050.6,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M02,      2070.9,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M03,      2091.0,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M04,      2099.7,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M05,      2112.3,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M06,      2124.4,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M07,      2103.3,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M08,      2115.4,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M09,      2121.1,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M10,      2135.5,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M11,      2148.1,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M12,      2153.3,          ,SMU48191240000000001
SMU48191240000000001          ,2007,M13,      2110.5,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M01,      2113.2,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M02,      2128.9,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M03,      2135.1,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M04,      2137.0,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M05,      2150.9,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M06,      2152.0,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M07,      2135.0,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M08,      2137.8,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M09,      2132.9,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M10,      2136.5,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M11,      2130.2,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M12,      2128.5,          ,SMU48191240000000001
SMU48191240000000001          ,2008,M13,      2134.8,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M01,      2066.4,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M02,      2062.3,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M03,      2060.7,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M04,      2057.0,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M05,      2059.8,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M06,      2056.8,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M07,      2039.4,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M08,      2038.0,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M09,      2034.3,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M10,      2047.2,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M11,      2048.9,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M12,      2050.9,          ,SMU48191240000000001
SMU48191240000000001          ,2009,M13,      2051.8,          ,SMU48191240000000001
